           time           x_01           y_01           x_02           y_02           x_03           y_03           x_04           y_04           x_05           y_05           x_06           y_06           x_07           y_07           x_08           y_08
    2.29492E-01   -1.03537E-01    6.32884E-02    7.80999E-02    1.55912E-01    1.08338E-01    3.98756E-01   -6.20764E-01   -3.34903E-01    3.88177E-02    1.13231E-01   -3.28262E-02   -5.70308E-01    1.53497E-01   -4.14626E-01    1.91203E-01   -1.94333E-01
    2.34375E-01   -9.66478E-02    5.93854E-02    6.98420E-02    1.35994E-01    1.34653E-01    3.82680E-01   -6.08909E-01   -3.87116E-01    2.72216E-02    1.55632E-01   -3.16614E-02   -5.45308E-01    1.05520E-01   -4.31038E-01    2.13774E-01   -2.09591E-01
    2.39258E-01   -8.80421E-02    5.35133E-02    4.07043E-02    1.41986E-01    1.52725E-01    2.74308E-01   -4.98836E-01   -3.97866E-01    4.18926E-02    1.97591E-01   -2.69088E-02   -4.72198E-01   -9.11358E-04   -3.69657E-01    2.08701E-01   -1.37466E-01
    2.44141E-01   -7.81158E-02    4.61077E-02   -4.82134E-03    1.68482E-01    1.64110E-01    9.33462E-02   -3.11447E-01   -3.75568E-01    7.73089E-02    2.38890E-01   -1.93351E-02   -3.61304E-01   -1.53039E-01   -2.46870E-01    1.81685E-01    3.56597E-03
    2.49023E-01   -6.74997E-02    3.79032E-02   -5.87780E-02    2.05628E-01    1.71727E-01   -1.25187E-01   -8.38560E-02   -3.35508E-01    1.23506E-01    2.79378E-01   -1.02942E-02   -2.30756E-01   -3.28400E-01   -9.19708E-02    1.43009E-01    1.80415E-01
    2.53906E-01   -5.69465E-02    2.97891E-02   -1.11408E-01    2.41260E-01    1.79207E-01   -3.38310E-01    1.38395E-01   -2.96549E-01    1.68206E-01    3.18943E-01   -1.44509E-03   -1.02735E-01   -4.99491E-01    5.90391E-02    1.05341E-01    3.52395E-01
    2.58789E-01   -4.71912E-02    2.26332E-02   -1.53195E-01    2.63520E-01    1.90088E-01   -5.04113E-01    3.10893E-01   -2.77082E-01    1.99443E-01    3.57471E-01    5.59441E-03    1.12051E-03   -6.39488E-01    1.71054E-01    8.10315E-02    4.79835E-01
    2.63672E-01   -3.88158E-02    1.71101E-02   -1.76858E-01    2.63409E-01    2.07035E-01   -5.90559E-01    3.99682E-01   -2.91078E-01    2.08109E-01    3.94814E-01    9.58507E-03    6.42120E-02   -7.27832E-01    2.17284E-01    7.94824E-02    5.32477E-01
    2.68555E-01   -3.21453E-02    1.35693E-02   -1.78876E-01    2.36740E-01    2.31239E-01   -5.82210E-01    3.88379E-01   -3.45071E-01    1.89908E-01    4.30762E-01    9.92425E-03    7.84038E-02   -7.54494E-01    1.84919E-01    1.05133E-01    4.95897E-01
    2.73438E-01   -2.71974E-02    1.19724E-02   -1.60212E-01    1.85068E-01    2.62135E-01   -4.83462E-01    2.81600E-01   -4.36718E-01    1.46292E-01    4.65029E-01    6.76977E-03    4.56741E-02   -7.22022E-01    7.78490E-02    1.56497E-01    3.74580E-01
